station,status,reason,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse,model_path,pipeline_path,num_rows,num_samples
2640_Makole,trained,,0.011528730574245747,0.00043981244806532024,0.020971705893067457,0.015302595330588361,0.000748262091315902,0.027354379746503153,models\hidro\model_2640_Makole.keras,models\hidro\pipeline_2640_Makole.pkl,1660.0,1636.0
2652_Videm,trained,,0.01279744692899362,0.00030055915816486043,0.017336642067161116,0.02776292283741475,0.0024934812554989684,0.04993477000546782,models\hidro\model_2652_Videm.keras,models\hidro\pipeline_2652_Videm.pkl,1697.0,1673.0
2667_Perovec,trained,,0.004329600156850975,3.280417265054758e-05,0.005727492701920063,0.02676664069688588,0.0024495076563057295,0.04949250101081708,models\hidro\model_2667_Perovec.keras,models\hidro\pipeline_2667_Perovec.pkl,1694.0,1670.0
2719_Podlehnik,trained,,0.031331774934444896,0.0010228026112626383,0.03198128532849545,0.014030828839510756,0.0009487351816047175,0.030801545117164455,models\hidro\model_2719_Podlehnik.keras,models\hidro\pipeline_2719_Podlehnik.pkl,1071.0,1047.0
2754_Trzec,trained,,0.009871476867342702,0.000152852519625563,0.01236335389874297,0.03123751625417203,0.0024544650481723774,0.049542557949427454,models\hidro\model_2754_Trzec.keras,models\hidro\pipeline_2754_Trzec.pkl,1695.0,1671.0
2830_Ranca,trained,,0.057202580916540076,0.0033321654095033967,0.05772491151576931,0.007890837702006014,0.0005970685431775292,0.024434986048236844,models\hidro\model_2830_Ranca.keras,models\hidro\pipeline_2830_Ranca.pkl,1703.0,1679.0
2880_Gocova,trained,,0.06960342337913587,0.010233537622790504,0.10116094909988985,0.017371339189090434,0.0014573770207006538,0.03817560766642299,models\hidro\model_2880_Gocova.keras,models\hidro\pipeline_2880_Gocova.pkl,1694.0,1670.0
2900_Zamusani,trained,,0.020948115237471115,0.001601266972897755,0.040015834027266696,0.042707535393803765,0.004680842444953818,0.06841668250473577,models\hidro\model_2900_Zamusani.keras,models\hidro\pipeline_2900_Zamusani.pkl,1694.0,1670.0
3060_Jesenice,trained,,0.10492754923064768,0.042592332383291576,0.20637909870743107,0.08067281341891788,0.011487908119101848,0.10718165943435401,models\hidro\model_3060_Jesenice.keras,models\hidro\pipeline_3060_Jesenice.pkl,1670.0,1646.0
3180_Podhom,trained,,0.010747371715734921,0.00015246546345191718,0.012347690612090878,0.008569613151696862,0.00017673681853689566,0.013294240051123481,models\hidro\model_3180_Podhom.keras,models\hidro\pipeline_3180_Podhom.pkl,1591.0,1567.0
